Building Permit Application Number,Building Address,Date Issued,Document Type,Number of Units Certified
201810032096,26 Crescent Aveneue,2019/08/30,CFC,1
201208076803,127 Buchanan Street,2019/08/30,CFC,5
201607192730,2100 Market Street,2019/09/05,Initial TCO,60
201612225774,160 Connecticut Street,2019/09/05,Initial TCO,2
201503110506,500 Folsom Street,2019/09/11,Initial TCO,80
201512145054,1395 22nd Street,2019/09/17,Amended TCO,183
201512074335,267 25th Avenue,2019/09/03,CFC,2
201506259899,566 Huron Avenue,2019/09/03,CFC,1
201810112965,1546 27th Avenue,2019/09/03,CFC,1
201704123855,156 Missouri Street,2019/09/05,CFC,2
201603222793,1528 15th Street,2019/09/06,CFC,1
201806273141,3525 17th Street,2019/09/06,CFC,1
201906123277,1234 Jones Street,2019/09/09,CFC,1
201711023014,436 Colon Avenue,2019/09/10,CFC,1
201802211863,2307A 15tth Aveneue,2019/09/10,CFC,1
201812077816,1517 Van Dyke,2019/09/11,CFC,1
201803133575,3933 Mission Street,2019/09/11,CFC,2
201905281833,275 Waller Street,2019/09/12,CFC,1
201706078722,840 Monterey Boulevard,2019/09/12,CFC,1
201402269331,560-562 De Haro Street,2019/09/16,CFC,2
201402269329,566-580  De Haro Street,2019/09/16,CFC,2
201402269324,586-588  De Haro Street,2019/09/16,CFC,2
201402269328,596-598 De Haro Street,2019/09/16,CFC,2
201705257672,478 39th Avenue,2019/09/16,CFC,1
201608165091,495 Chapman Street,2019/09/16,CFC,1
201604064141,3110 Clay Street,2019/09/17,CFC,1
201605318777,1433 Bush Street,2019/09/18,CFC,40
201706270468,1741A 16th Avenue,2019/09/18,CFC,1
201604205203,515 Octavia Street,2019/09/19,CFC,1
201609026792,41 Ottawa Avenue,2019/09/20,CFC,1
201809170430,50A Sussex Street,2019/09/20,CFC,1
201503191328,2181 9th Avenue,2019/09/24,CFC,1
201704204456,559 24th Avene,2019/09/24,CFC,1
201604074232,558-562 Filbert Street,2019/09/24,CFC,1
201705267806,319 Capp Street,2019/09/25,CFC,1
201808238131,26 Flint Street,2021/09/26,CFC,1
201705096111,108 Bosworth Street,2019/09/27,CFC,2
201506199453,1301 Turk Street,2019/09/27,CFC,1
201812067642,731 44th Avenue,2019/09/27,CFC,1
201806293393,1662 36th Avenue,2019/09/27,CFC,1
201804105983,1901 33rd Avenue,2019/09/30,CFC,1
201503110506,500 Folsom Street,2019/10/04,Amended TCO,71
201612225710,1491 Sunnydale Aveneue,2019/10/04,Amended TCO,55
201709229395,1411 Florida Street,2019/10/03,CFC,1
201507141485,777 Tennessee Street,2019/10/03,Initial TCO,59
201809190844,3259 Mission Street,2019/10/02,CFC,1
201906133379,15 Vandewater Street,2019/10/04,CFC,1
201705187006,2835 Van Ness Avenue,2019/10/07,CFC,1
201801299802,123 Ashbury Street,2019/10/09,CFC,1
201902132821,615 Sanchez Street,2019/10/09,CFC,1
201511031632,2346 Lombard Street,2019/10/09,CFC,6
201802201717,996-998 Burnett Avenue,2019/10/10,CFC,1
201711224685,247 Edna Street,2019/10/10,CFC,1
201710040318,352 Roosevelt Way,2019/10/10,CFC,1
201609077004,3320 Octavia Street,2019/10/10,CFC,4
201710262402,2510 Folsom Street,2019/10/11,CFC,4
201612195288,226 Brazil Street,2019/10/11,CFC,1
201910023287,680 Spruce Street,2019/10/11,CFC,1
201902072315,822 Arkansas Street,2019/10/15,CFC,1
201803214253,3140 25th Street,2019/10/15,CFC,1
201306250394,1 Henry Adams,2019/10/15,CFC,85
201803063032,1436-1436A Page Street,2019/10/15,CFC,2
201609299151,138 Page Street,2019/10/15,CFC,1
201805240052,462 Gold Mine Drive,2019/10/17,CFC,1
201612286024,528 41st Aveue,2019/10/18,CFC,1
201709137972,3947 21st Street,2019/10/18,CFC,1
201604074236,589-591 Dolores Street,2019/10/24,CFC,3
201603172392,1101 Connecticut Street,2019/10/28,CFC,72
200705312676,2000 McAllister Street,2019/10/29,CFC,3
201606240805,530 41st Avenue,2019/10/30,CFC,1
201908088234,340A Silliman Street,2019/10/31,CFC,1
201505297549,502 7th Street,2019/11/13,Initial TCO,16
201503110506,500 Folsom Street,2019/11/14,Amended TCO,161
201603031058,1601 Mariposa Street,2019/11/15,Initial TCO,134
201608195545,1294 Shotwell Street,2019/11/13,Initial TCO,94
201908098418,830 40th Avenue,2019/11/01,CFC,1
201712015222,1927 Alemany Boulevard,2019/11/01,CFC,1
201506169055,501 Buena Vista Avenue West,2019/11/04,CFC,1
201709290019,2121A Judah Street,2019/11/05,CFC,1
201706018150,159A Sadowa Street,2019/11/06,CFC,1
201811014722,746 Lyon Street,2019/11/06,CFC,1
200405073324,1282 Hayes Street,2019/11/07,CFC,7
201709299946,1530 California Street,2019/11/07,CFC,1
201701247807,615 Prague Street,2019/11/08,CFC,1
201903215920,357 Lansdale Avenue,2019/11/13,CFC,1
201705197084,5556 Mission Street,2019/11/13,CFC,1
201811085433,18A Harvard Street,2019/11/14,CFC,1
201811196332,313-315 Mount Vernon Aveneu,2019/11/14,CFC,1
201307292931,2930-2932 23rd Street,2019/11/14,CFC,1
201810112959,57 Caine Avenue,2019/11/15,CFC,1
201806202503,8 Cragmont Avenue,2019/10/18,CFC,1
201401307472,53 States Street,2019/11/06,CFC,1
201810092555,645 Santiago Street,2019/11/12,CFC,1
201512144961,57 Kirkwood Avenue,2019/11/13,CFC,1
201512144994,85 Kirkwood Avenue,2019/11/13,CFC,1
201512144957,31Kirkwood Avenue,2019/11/15,CFC,1
201512144958,33 Kirkwood Avenue,2019/11/15,CFC,1
201512144959,35 Kirkwood Avenue,2019/11/15,CFC,1
201512145025,37 Kirkwood Avenue,2019/11/15,CFC,1
201501145720,29 Kirkwood Avenue,2019/11/15,CFC,1
201708316594,1419 Lane Street,2019/11/15,CFC,1
201711214580,2905 Jennings Street,2019/11/15,CFC,1
201512145026,39 Kirkwood Avenue,2019/11/15,CFC,1
201512145027,41 Kirkwood Avenue,2019/11/15,CFC,1
201512145028,43 Kirkwood Avenue,2019/11/15,CFC,1
201512145029,45 Kirkwood Avenue,2019/11/15,CFC,1
201512145030,47 Kirkwood Avenue,2019/11/15,CFC,1
201412113582,53 Kirkwood Avenue,2019/11/13,CFC,1
201512144960,55 Kirkwood Avenue,2019/11/15,CFC,1
201512144962,59 Kirkwood Avenue,2019/11/13,CFC,1
201512144963,61 Kirkwood Avenue,2019/11/15,CFC,1
201512144964,63 Kirkwood Avenue,2019/11/18,CFC,1
201512144965,65 Kirkwood Avenue,2019/11/15,CFC,1
201512144988,67 Kirkwood Avenue,2019/11/15,CFC,1
201512144989,69 Kirkwood Avenue,2019/11/15,CFC,1
201512144990,71 Kirkwood Avenue,2019/11/15,CFC,1
201512145021,73 Kirkwood Avenue,2019/11/15,CFC,1
201412113580,77 Kirkwood Avenue,2019/11/15,CFC,1
201512144991,79 Kirkwood Avenue,2019/11/15,CFC,1
201512144992,81 Kirkwood Avenue,2019/11/15,CFC,1
201512144995,87 Kirkwood Avenue,2019/11/15,CFC,1
201512144993,89 Kirkwood Avenue,2019/11/15,CFC,1
201512145022,89 Kirkwood Avenue,2019/11/15,CFC,1
201012076279,218 Williams Avenue,2019/11/19,CFC,1
201709117557,678A 11th Avenue,2019/11/06,CFC,1
201303051508,381 26th Avenue,2019/11/13,CFC,3
201708316644,1353 Stevenson Street,2019/11/14,CFC,1
201507010431,2500 Clement Streer,2019/11/15,CFC,1
201802222037,2395 29th Avenue,2019/11/19,CFC,2
201601116829,330 Presidio Avenue,2019/11/20,CFC,2
201502128257,575A Athens Street,2019/11/22,CFC,1
201806252787,2095 Thomas Avenue,2019/11/25,CFC,1
201604205279,420 14th Street,2019/11/26,CFC,1
201607061716,2988A Mission Street,2019/11/27,CFC,1
201803305180,4536 20th Street,2019/11/27,CFC,1
201305036062,555 Fulton Street,2019/12/06,Amended TCO,78
201508184575,77 Belgrave Avenue,2019/12/05,Initial TCO,1
201704073430,256 Casitas Avenue,2019/12/20,Initial TCO,1
201603091627,875 California Street,2019/12/23,Initial TCO,32
201503110506,500 Folsom Street,2019/12/26,Amended TCO,48
201705035598,3140 Octavia Street,2019/12/02,CFC,1
201809180606,2085 18th Avenue,2019/12/02,CFC,1
201502138305,3334 San Bruno Avenue,2019/12/03,CFC,1
201612286082,1813 15th Street,2019/12/03,CFC,1
201801239315,941 Page Street,2019/12/06,CFC,1
200703307744,1225 Dolores Street,2019/12/10,CFC,1
201608104715,20 Downey Street,2019/12/11,CFC,1
201406249203,6635 03rd Street,2019/12/11,CFC,3
201407221872,3198 Market Street,2019/12/12,CFC,1
201606109680,905 Capp Street,2019/12/12,CFC,1
201912109104,1375 43rd Avenue,2019/12/17,CFC,1
201912169624,1030 Washington Street,2019/12/17,CFC,1
201708074108,895-897 37th Avenue,2019/12/18,CFC,1
201609278885,2942 Franklin Street,2019/12/19,CFC,4
201604114417,1948 Quesada Avenue,2019/12/19,CFC,1
201604114413,1952 Quesada Avenue,2019/12/19,CFC,1
201809251280,720 Elizabeth Street,2019/12/19,CFC,1
201811075266,4033A Ortega Street,2019/12/20,CFC,1
201710121024,2832 Bryant Street,2019/12/20,CFC,1
200504200419,1300 Eddy Street,2019/12/20,CFC,1
201703292659,880 Oak Street,2019/12/23,CFC,1
201611072097,5211 Mission Street,2019/12/23,CFC,1
201607111977,4334 Fulton Street,2019/12/24,CFC,1
201604124546,476 Noe Street,2019/12/24,CFC,1
201812178524,167A Valdez Avenue,2019/12/26,CFC,1
201512144956,7 Kirkwood Avenue,2019/12/26,CFC,1
201512145031,9 Kirkwood Avenue,2019/12/26,CFC,1
201512145032,11 Kirkwood Avenue,2019/12/26,CFC,1
201512145033,15 Kirkwood Avenue,2019/12/26,CFC,1
201512145035,17 Kirkwood Avenue,2019/12/26,CFC,1
201512145036,19 Kirkwood Avenue,2019/12/26,CFC,1
201512145037,21 Kirkwood Avenue,2019/12/26,CFC,1
201512145038,23 Kirkwood Avenue,2019/12/26,CFC,1
201512145020,25 Kirkwood Avenue,2019/12/26,CFC,1
201501145722,3 Kirkwood Avenue,2019/12/27,CFC,1
201512144931,5 Kirkwood Avenue,2019/12/27,CFC,1
201607071765,240 Chattanooga Street,2019/12/30,CFC,6
201903286529,240 Chattanooga Street,2019/12/30,CFC,1
201812289306,565 Page Street,2019/12/31,CFC,1
201507232246,714 Kansas Street,2019/12/31,CFC,1
201712287527,1045 Cabrillo Street,2020/01/08,Initial TCO,2
201612215523,1150 3rd Street,2020/01/30,Initial TCO,119
201407181635,647 Duncan Street,2020/01/03,CFC,1
202001021182,80 Crestline Drive,2020/01/03,CFC,1
201602099105,1706 Grove Street,2020/01/07,CFC,1
201509096511,3130 Webster Street,2020/01/07,CFC,1
201807305938,943 Page Street,2020/01/07,CFC,1
201608266124,619 Clayton Street,2020/01/08,CFC,1
201804257342,255A minerva Street,2020/01/09,CFC,1
201811095495,3015A 25th Avenue,2020/01/10,CFC,1
201812198816,2719 35th Avenue,2020/01/10,CFC,1
201809129915,2814 Harrison Street,2020/01/10,CFC,1
201705166754,1301 Baker Street,2020/01/10,CFC,1
201805300459,266 Coleridge Street,2020/01/15,CFC,1
201609016626,487 Dolores Street,2020/01/16,CFC,2
201306210141,363 21st Avenue,2020/01/17,CFC,3
201406067701,1170 Rhode Island Street,2020/01/17,CFC,1
201804196783,1666 48th Avenue,2020/01/21,CFC,1
201810173405,655 Kansas Street,2020/01/22,CFC,1
201703242322,2560 21st Avenue,2020/01/22,CFC,1
201904107639,1955A 35th Avenue,2020/01/23,CFC,1
201902122702,565 Page Street,2020/01/24,CFC,1
201711093657,1019 Ashbury Street,2020/01/27,CFc,1
201801047829,496A Urbano Drive,2020/01/28,CFC,1
201911187612,2177-2181 O'Farrell Street,2020/01/29,CFC,1
201501145723,580 Hudson Avenue,2020/01/29,CFC,1
201512145015,584 Hudson Avenue,2020/01/29,CFC,1
201512145016,588 Hudson Avenue,2020/01/29,CFC,1
201512145017,592 Hudson Avenue,2020/01/29,CFC,1
201512145018,594 Hudson Avenue,2020/01/29,CFC,1
201512145024,598 Hudson Avenue,2020/01/29,CFC,1
201712287527,1045 Cabrillo Street,2020/01/29,CFC,2
201903276450,1749 Cayuga Street,2020/01/31,CFC,1
201603031058,1601 Mariposa Street,2020/02/03,Amended TCO,8
201503110506,500 Folsom Street,2020/02/25,Amended TCO,166
201603010904,210 Arkansas Street,2020/02/28,Initial TCO,40
201512145016,588 Hudson Avenue,2020/02/05,CFC,1
201703151489,4847-4849 Mission Street,2020/02/05,CFC,1
201311061273,580 Capp Street,2020/02/07,CFC,3
201701247775,1633-1639 Washington Street,2020/02/07,CFC,3
201701318332,54 Naples Street,2020/02/10,CFC,1
201709077223,126-128 Venus Street,2020/02/11,CFC,1
201611173035,400 Anza Street,2020/02/11,CFC,5
201902072313,1608 Cayuga Avenue,2020/02/11,CFC,1
201807265589,649 Francisco Street,2020/02/12,CFC,1
201608296273,331 27th Avenue,2020/02/13,CFC,1
201910295819,376-380 Union Street,2020/02/13,CFC,1
201909121441,431-433A 2nd Avenue,2020/02/13,CFC,1
201712055510,2589 San Bruno Avenue,2020/02/13,CFC,1
201707051026,362 28th Avenue,2020/02/18,CFC,1
201502027205,540 Cole Street,2020/02/18,CFC,1
201908269782,2 Geneva Avenue,2020/02/19,CFC,1
201806273094,2 Geneva Avenue,2020/02/19,CFC,1
201801319973,2 Geneva Avenue,2020/02/19,CFC,1
201705166655,366 Sussex Street,2020/02/19,CFC,1
201704063407,1101-1107 Phelps/1791 La Salle,2020/02/19,CFC,4
201606230733,297 Sagamore Street,2020/02/20,CFC,1
201606230749,299 Sagamore Street,2020/02/20,CFC,1
201804267500,715 Sargent Street,2020/02/21,CFC,1
201903195622,462 Green Street,2020/02/24,CFC,1
201712287567,507 26th Avenue,2020/02/24,CFC,2
201910033402,254 Ivy Street,2020/02/28,CFC,1
201606200387,1500 Mission Street,2020/03/09,Initial TCO,247
201611213210,2224 Clement Street,2020/03/12,Initial TCO,12
201603010904,210 Arkansas Street,2020/03/13,Amended TCO,106
201810244011,28 Waterville Street,2020/03/04,CFC,1
201805290310,363 12th Avenue,2020/03/03,CFC,1
201901180803,867 47th Avenue,2020/03/05,CFC,1
201410280037,268 Grandview Avenue,2020/03/06,CFC,1
201901110203,1650A 11th Avenue,2020/03/06,CFC,1
201904309256,436A Noe Street,2020/03/10,CFC,1
200403309962,711 Peru Avenue,2020/03/10,CFC,1
201605268527,245 11th Avenue,2020/03/12,CFC,2
201803224304,534 Woolsey Street,2020/03/12,CFC,1
201405296982,127 Edgehill Way,2020/03/13,CFC,1
201707141953,1604 Treat Avenue,2020/03/13,CFC,1
201905302068,2522 Post Street,2020/03/13,CFC,1
201802151458,2861 Folsom Street,2020/03/16,CFC,1
201802151457,2857 Folsom street,2020/03/20,CFC,1
201603303454,1135 Stanyan Street,2020/03/24,CFC,2
202001282898,2000 Newhall Street,2020/03/24,CFC,1
201908128470,5858 Mission Street,2020/03/25,CFC,1
201512094574,1545-1549 Clement Street,2020/03/31,CFC,3
201406239109,2000 Bryant Street,2020/04/01,Amended TCO,175
201406128212,1066 Market Street,2020/04/24,Initial TCO,303
201606200387,1550 Mission Street,2020/04/30,Amended TCO,233
201701177275,1591 Page Street,2020/04/01,CFC,2
201810183611,163A Paris Street,2020/04/07,CFC,1
201811075270,51-53 Iris Avenue,2020/04/23,CFC,1
201907115634,310 Delano Avenue,2020/04/29,CFC,1
201708306453,670 Lombard Street,2020/04/30,CFC,2
201406259481,160 Folsom Street,2020/05/05,Initial TCO,174
201712156664,2444 Lombard Street,2020/05/12,Initial TCO,41
201601126880,25 Grace Street,2020/05/20,Initial TCO,11
201601126879,37 Grace Street,2020/05/20,Initial TCO,11
201811216572,19 Regent Street,2020/05/01,CFC,1
201609168044,1480 Waller Street,2020/05/07,CFC,1
201609218436,1264 17th Avenue,2020/05/15,CFC,1
201803012589,508A Sanchez Street,2020/05/18,CFC,1
201607212944,721 Ashbury Street,2020/05/18,CFC,3
201703211947,326 Pierce Street,2020/05/19,CFC,2
201912058799,1475A 19th Avenue,2020/05/19,CFC,1
201712156664,2444 Lombard Street,2020/05/21,CFC,2
201809261482,210 Frederick Street,2020/05/21,CFC,1
201706230280,54-56 Laura Street,2020/05/22,CFC,1
201807235270,56A Nantucket Avenue,2020/05/26,CFC,1
201812289349,491 Sunrise Way,2020/05/26,CFC,1
201705267790,252 16th Avenue,2020/05/27,CFC,1
201611041967,700 12th Avenue,2020/05/27,CFC,3
201809059149,1582A 46th Avenue,2020/05/28,CFC,1
201305036062,555 Fulton Street,2020/06/12,Amended TCO,4
201406259481,160 Folsom Street,2020/06/18,Amended TCO,192
201603010904,210 Arkansas Street,2020/06/22,Amended TCO,4
201612285989,2465 Van Ness Avenue,2020/06/23,Initial TCO,41
201603152080,302 Silver Avenue,2020/06/29,Initial TCO,188
201601278125,390 1st Street,2020/06/30,Initial TCO,176
201609168040,1480 Waller Street,2020/06/02,CFC,1
201804116129,2883A Bush Street,2020/06/02,CFC,1
201711284922,2201 California Street,2020/06/02,CFC,1
201905029549,842 Rhode Island Street,2020/06/04,CFC,1
201502128193,534 Natoma Street,2020/06/05,CFC,1
201810112898,51 Scott Street,2020/06/05,CFC,1
201808248251,1773 11th Avenue,2020/06/08,CFC,1
201805118890,1295 47th Avenue,2020/06/08,CFC,4
201907297160,823 Russia Avenue,2020/06/10,CFC,1
201701066676,1017 Brussels Street,2020/06/12,CFC,1
201502107867,540 De Haro Street,2020/06/15,CFC,16
201901230981,507 4th Avenue,2020/06/19,CFC,1
201910305967,5 Fielding Street,2020/06/23,CFC,1
201906133393,737 Victoria Street,2020/06/24,CFC,1
201512175322,1010 Stanyan Street,2020/06/26,CFC,4
201510169944,1631 Oakdale Avenue,2020/06/29,CFC,2
201607142327,3620 Cesar Chavez,2020/06/30,CFC,24
201907257001,341A Day Street,2020/06/30,CFC,1
201606200387,1500 Mission Street,2020/07/06,Amended TCO,62
201406259481,160 Folsom Street,2020/07/17,Amended TCO,20
201306210213,2171 3rd Street,2020/07/15,Initial TCO,104
201402047761,2898 Sloat Boulevard,2020/07/29,Initial TCO,15
201609077001,756 Page Street,2020/07/02,CFC,2
201607051548,218 27th Avenue,2020/07/02,CFC,3
201708255949,129 Julian Avenue,2020/07/06,CFC,1
201705085986,46 Digby Street,2020/07/07,CFC,1
201711284922,2201 California Street,2020/07/08,CFC,1
201812279276,266A Sagamore Street,2020/07/08,CFC,1
201709269586,517 17th Avenue,2020/07/08,CFC,1
201609066826,42 Dorantes Avenue,2020/07/09,CFC,1
201609137606,497 29th Street,2020/07/09,CFC,1
201712156574,2463 19th Avenue,2020/07/10,CFC,1
201611293690,2744 Balboa Street,2020/07/10,CFC,1
201505085845,1651 Larkin Street,2020/07/14,CFC,1
201904188411,1324 8th Avenue,2020/07/15,CFC,2
201810193736,1258 Leavenworth Street,2020/07/17,CFC,1
202003056258,2338-2340 19th Avenue,2020/07/20,CFC,2
202003056260,2346-2348 19th Avenue,2020/07/20,CFC,2
202003056259,2342-2344 19th Avenue,2020/07/20,CFC,2
202003056263,2350-2352 19th Avenue,2020/07/20,CFC,2
202003056261,2354-2356 19th Avenue,2020/07/20,CFC,2
201904238731,684  37th Avenue,2020/07/22,CFC,1
201312134205,3721 21st Avenue,2020/07/23,CFC,1
201407302522,3121-3123 Folsom Street,2020/07/24,CFC,2
201802050353,284 Roosevelt Way,2020/07/27,CFC,2
201903155375,657 36th Avenue,2020/07/29,CFC,1
201702280349,2263A 41st Avenue,2020/07/30,CFC,1
201402047761,2898 Sloat Boulevard,2020/08/03,Initial TCO,15
201305036062,555 Fulton Street,2020/08/04,Amended TCO,1
201606200387,1500 Mission Street,2020/08/05,Amended TCO,8
201603031058,1601 Mariposa Street,2020/08/10,Amended TCO,1
201802161503,188 Hooper Street,2020/08/11,Initial TCO,280
201603152080,302 Silver Aveneu,2020/08/12,Amended TCO,10
201309257711,2290 3rd Street,2020/08/13,Initial TCO,71
201610059557,188 octavia Street,2020/08/28,Initial TCO,28
201601278125,390 1st Street,2020/08/28,Amended TCO,1
201705025455,1301 16th Street,2020/08/27,Initial TCO,160
201903226074,381 Teresita Boulevard,2020/08/03,CFC,1
201904047160,511A 39th Avenue,2020/08/03,CFC,1
201901100077,124-132 Waverly Place,2020/08/04,CFC,1
201811014796,1910 Golden Gate Avenue,2020/08/05,CFC,1
200806275518,339 18th Aveneue,2020/08/06,CFC,2
201709016778,1719 17th Avenue,2020/08/06,CFC,1
201603293298,4466 24th Street,2020/08/06,CFC,1
201612225774,160 Connnecticut Street,2020/08/07,CFC,2
201901170573,1529 29th Avenue,2020/08/07,CFC,1
201801128565,1856 Pacific Avenue,2020/08/11,CFC,1
201709259507,92 Concord Street,2020/08/12,CFC,1
201812037353,250 21st Avenue,2020/08/14,CFC,1
201703070870,372 Quintara Street,2020/08/14,CFC,1
201604064070,534 leland Avenue,2020/08/14,CFC,1
201902082516,20A Entrada Court,2020/08/15,CFC,1
201801239235,2215 Rivera Street,2020/08/20,CFC,1
201812198794,4407 20th Street,2020/08/20,CFC,1
201406067695,701 Taraval Street,2020/08/25,CFC,3
201710131207,104 Guerrero Street,2020/08/26,CFC,3
201609228561,2390 34th Avenue,2020/08/26,CFC,1
201602109299,1262 Union Street,2020/08/27,CFC,3
201810153234,1735A 23rd Avenue,2020/08/28,CFC,1
201905211326,115 Brighton Avenue,2020/08/31,CFC,1
201712015291,950 Tennessee,2020/09/02,Initial TCO,100
201312204747,706 Mission Street,2020/09/03,Initial TCO,47
201609218371,1950 Mission Street,2020/09/11,Initial TCO,35
201406259481,160 Folsom Street,2020/09/17,Amended TCO,6
201402047761,2898 Slloat Boulevard,2020/09/23,Amended TCO,18
201705055847,200 Van Ness Avenue,2020/09/30,Initial TCO,145
201609016554,1531 6th Avenue,2020/09/02,CFC,1
201310038419,1801 Mission Street,2020/09/02,CFC,17
201902011886,1970 21st Avenue,2020/09/02,CFC,1
201603010904,210 Arkansas Street,2020/09/03,CFC,4
201901251263,373 Sawyer Street,2020/09/08,CFC,1
201905241708,644A Silver Avenue,2020/09/08,CFC,1
201604134664,15 Guy Place,2020/09/09,CFC,2
201312315425,2 Byron Court,2020/09/10,CFC,1
201701268022,815-815A Lyon Street,2020/09/14,CFC,1
201902062294,2955 Cesar Chavez Street,2020/09/15,CFC,1
201607273516,1315A 14th Avenue,2020/09/17,CFC,1
201704194329,668 Oak Street,2020/09/18,CFC,4
201710302604,718A Geneva Avenue,2020/09/18,CFC,1
201706220138,625 Guerrero Street,2020/09/21,CFC,1
201804247175,72 Sears Street,2020/09/22,CFC,1
201804277617,334B 19th Avenue,2020/09/22,CFC,1
201708023666,451 Buena Vista East Avenue,2020/09/25,CFC,1
201607213023,160 San Carlos Avenue,2020/09/28,CFC,2
201604074244,1700 Market Street,2020/10/06,Initial TCO,42
201510281089,950 Gough Street,2020/10/07,Initial TCO,75
201602179763,345 6th Street,2020/10/08,Initial TCO,102
201702280331,363 6th Street,2020/10/08,Initial TCO,104
201010052342,490 South Van Ness,2020/10/09,Initial TCO,7
201609218371,1950 Mission Street,2020/10/21,Amended TCO,115
201705025458,333 12th Street,2020/10/21,Initial TCO,104
201705025455,1301 16th Street,2020/10/27,Amended TCO,12
201703201864,322 Mansell Street,2020/10/01,CFC,1
201511303726,1342 York Street,2020/10/05,CFC,1
201612306302,929 Brazil Street,2020/10/05,CFC,1
201807104092,225A grafton Aveneue,2020/10/06,CFC,1
201912058774,688 Haight Street,2020/10/06,CFC,1
201712126289,1410 Hudson Avenue,2020/10/07,CFC,1
201803204178,2002 Pierce Street,2020/10/08,CFC,2
201712015283,411 Pierce Street,2020/10/09,CFC,1
201608296300,274A Victoria Street,2020/10/13,CFC,1
201905080187,2845 Moraga Street,2020/10/13,CFC,2
201611102401,334 3rd Avenue,2020/10/14,CFC,4
201809059203,875 Clayton Street,2020/10/15,CFC,1
201710191674,825 York Street,2020/10/16,CFC,1
201701177298,158-160 Caselli Avenue,2020/10/19,CFC,2
201812047387,445-447 Ramsell Street,2020/10/19,CFC,1
201903276340,2270 21st Avenue,2020/10/20,CFC,1
201802131184,29 Ledyard Street,2020/10/21,CFC,1
201504224286,2829 25th Street,2020/10/22,CFC,4
201605137455,52A Landers Street,2020/10/23,CFC,1
201905019423,250-252 10th Avenue,2020/10/23,CFC,2
201905231489,463 12th Avenue,2020/10/26,CFC,1
201805310651,3844 Irving Street,2020/10/26,CFC,1
201612215553,840 Van Ness Avenue,2020/10/28,CFC,2
202007130022,1657 Clement Street,2020/10/28,CFC,1
201907176184,2619A 22nd Street,2020/10/29,CFC,1
201505126140,118A Holloway Avenue,2020/10/29,CFC,1
201805108747,824 Hyde Street,2020/10/30,CFC,14
202006249036,100 Terra Vista Avenue,2020/10/30,CFC,1
201406239109,2000 Bryant Street,2020/11/06,Amended TCO,19
201406249298,119 17th Street,2020/11/17,Initial TCO,39
201512316246,225 Shipley Street,2020/11/17,Initial TCO,9
201601278125,390 1st Street,2020/11/23,Amended TCO,3
201312204747,706 Mission Street,2020/11/25,Amended TCO,68
201704204504,1251 Hyde Street,2020/11/04,CFC,3
201901079741,328 Pennsylvania Street,2020/11/05,CFC,2
201806051065,466 Frederick Street,2020/11/06,CFC,1
201802211870,1318 18th Street,2020/11/09,CFC,1
201903205790,1820A Mason Street,2020/11/12,CFC,1
201908057880,1845 San Jose Avenue,2020/11/13,CFC,1
201906123230,8A Dunsmuir Street,2020/11/16,CFC,1
201901099960,430 1st Avenue,2020/11/16,CFC,1
201312174396,3040 24th Street,2020/11/16,CFC,1
201804136343,1459 Revere Avenue,2020/11/19,CFC,1
201407090811,2815 Polk Street,2020/11/19,CFC,3
201810264291,275 Oak Street,2020/11/20,CFC,2
201611223370,718 Morse Street,2020/11/20,CFC,1
201911278337,731 Judah Street,2020/11/23,CFC,1
201805148992,180 11th Avenue,2020/11/25,CFC,2
201707101417,955 post Street,2020/11/25,CFC,2
201503130811,974 geneva Avenue,2020/11/25,CFC,3
201406259481,160 Folsom Street,2020/12/15,Amended TCO,6
201312204747,706 Mission Street,2020/12/18,Amended TCO,31
201405276744,1452 Broadway,2020/12/23,Initial TCO,7
201612285988,2301 Lombard Street,2020/12/24,Initial TCO,22
201711154101,735 Davis Street,2020/12/29,Initial TCO,53
201612235821,235 Vallencia Street,2020/12/31,Initial TCO,40
201608124850,4-6 Divisadero Street,2020/12/01,CFC,1
201802080780,446C Vallejos Street,2020/12/01,CFC,1
201802090957,234 Lisbon Street,2020/12/02,CFC,1
201410249874,938-940 Santiago Street,2020/12/03,CFC,1
201812249094,1118A Capitol Avenue,2020/12/09,CFC,1
201310169408,1271-1273 19th Avenue,2020/12/09,CFC,2
202008282856,24 Somerset Street,2020/12/11,CFC,1
201805078368,1276 Geneva Avenue,2020/12/15,CFC,1
201602129564,1154 Kearny Street,2020/12/15,CFC,1
201512316217,1058 Mississippi Street,2020/12/16,CFC,2
201811206393,1152 Fell Street,2020/12/16,CFC,1
201806121624,4345 Clement Street,2020/12/17,CFC,1
201807033723,9 University Street,2020/12/18,CFC,1
201404183603,852 Green Street,2020/12/18,CFC,1
201710242133,1851C Stockton Street,2020/12/21,CFC,1
201910083888,1336A Green Street,2020/12/22,CFC,1
201701268017,478 Collingwoo Street,2020/12/29,CFC,1
201905150689,459 Crestmont Drive,2020/12/29,CFC,1
201906274608,48 Miraloma Drive,2020/12/30,CFC,1
201605036398,711 Corbett Avenue,2020/12/30,CFC,2
201508124039,245A Brighton Avenue,2021/01/06,CFC,1
201605066788,357 Tocoloma Avenue,2021/01/06,CFC,1
201904157990,544 Moscow Street,2021/01/06,CFC,1
200412131315,187 Tioga Avenue,2021/01/08,CFC,1
200412131313,189 Tioga Avenue,2021/01/08,CFC,1
